k-NN,SVM,DT
6.183184416,0.9244779221,1.053563636
6.183937662,0.954587013,1.720051948
6.182924675,0.9498857143,1.720093506
6.18385974,0.9612571429,1.720342857
6.182509091,0.9460779221,NaN
6.182311688,0.9315428571,NaN
6.181683117,0.9430233766,NaN
6.181298701,0.9427844156,NaN
6.181122078,0.942561039,NaN
6.181194805,0.9387012987,NaN
6.181683117,0.9349506494,NaN
6.181111688,0.9237558442,NaN
6.181007792,0.9247896104,NaN
6.182114286,0.9220935065,NaN
6.181298701,0.9293038961,NaN
6.181080519,0.926587013,NaN
6.180727273,0.9251636364,NaN
6.180441558,0.9186025974,NaN
6.180987013,0.8451376623,NaN
6.180774026,0.7891480519,NaN
6.179064935,0.7693558442,NaN
6.179116883,0.7623844156,NaN
6.179475325,0.747787013,NaN
6.179184416,0.7942077922,NaN
6.179620779,0.7887116883,NaN
6.178872727,0.7761298701,NaN
6.178976623,0.7712103896,NaN
6.179646753,0.7577558442,NaN
6.179818182,0.8419220779,NaN
6.180290909,0.8416831169,NaN
6.180041558,0.8410077922,NaN
6.180503896,0.8389506494,NaN
6.178831169,0.8468727273,NaN
6.180119481,0.8652519481,NaN
6.180181818,0.8588415584,NaN
6.180202597,0.8576051948,NaN
6.179303896,0.8620415584,NaN
6.179838961,0.8514337662,NaN
6.17972987,0.8480103896,NaN
6.179854545,0.8482025974,NaN
6.180161039,0.8480415584,NaN
6.177574026,0.8557194805,NaN
6.178358442,0.8461402597,NaN
6.177792208,0.8462337662,NaN
6.177854545,0.8616675325,NaN
6.178187013,0.8518597403,NaN
6.177693506,0.8396779221,NaN
6.177875325,0.8422805195,NaN
6.177532468,0.8393662338,NaN
6.178046753,0.8509246753,NaN
6.17707013,0.8431272727,NaN
6.179153247,0.8150545455,NaN
6.070285714,0.7730545455,NaN
6.039646753,0.7603844156,NaN
6.038327273,0.6986805195,NaN
6.038451948,0.7438493506,NaN
6.037501299,0.7529506494,NaN
6.038025974,0.7378441558,NaN
6.037262338,0.7029402597,NaN
6.240197403,0.7023844156,NaN
6.220005195,0.7599584416,NaN
6.142535065,0.7431116883,NaN
6.177007792,0.7170285714,NaN
6.177594805,0.7137662338,NaN
6.177423377,0.7153558442,NaN
6.177236364,0.7333454545,NaN
6.176342857,0.7245038961,NaN
6.176706494,0.7235480519,NaN
6.177319481,0.7411428571,NaN
6.177319481,0.7318441558,NaN
6.177490909,0.7103532468,NaN
6.176664935,0.7108623377,NaN
6.177532468,0.7100311688,NaN
6.175776623,0.7172155844,NaN
6.175579221,0.7002181818,NaN
6.175397403,0.6991584416,NaN
6.176041558,0.6979636364,NaN
6.176098701,0.688612987,NaN
6.175262338,0.6202441558,NaN
6.175937662,0.5954753247,NaN
6.174992208,0.5858077922,NaN
6.175693506,0.6144415584,NaN
6.1764,0.6125350649,NaN
6.174820779,0.6269662338,NaN
6.175303896,0.6053922078,NaN
6.175433766,0.6815272727,NaN
6.175023377,0.6907324675,NaN
6.17625974,0.7240311688,NaN
6.175355844,0.7258233766,NaN
6.175677922,0.7229454545,NaN
6.1756,0.7279636364,NaN
6.175361039,0.7323064935,NaN
6.175849351,0.7701714286,NaN
6.175064935,0.7569766234,NaN
6.175615584,0.7524675325,NaN
6.17545974,0.7512779221,NaN
6.174727273,0.7505558442,NaN
6.175407792,0.769387013,NaN
6.174935065,0.7430805195,NaN
6.175350649,0.7437766234,NaN
6.174924675,0.7485402597,NaN
6.175168831,0.7486597403,NaN
6.174841558,0.7313558442,NaN
6.174815584,0.7318909091,NaN
6.175532468,0.7317142857,NaN
6.174794805,0.7501194805,NaN
6.173979221,0.730612987,NaN
6.175038961,0.7359376623,NaN
6.173838961,0.7533974026,NaN
6.174945455,0.7671324675,NaN
6.174716883,0.7287324675,NaN
6.175246753,0.7188467532,NaN
6.174935065,0.7085662338,NaN
6.175267532,0.8021298701,NaN
6.175038961,0.798612987,NaN
6.174431169,0.7992571429,NaN
6.175090909,0.7970285714,NaN
6.174503896,0.8210181818,NaN
6.174997403,0.8092363636,NaN
6.175251948,0.7895948052,NaN
6.174161039,0.7909818182,NaN
6.174503896,0.7831324675,NaN
6.174888312,0.7811896104,NaN
6.17545974,0.7784571429,NaN
6.173709091,0.827574026,NaN
6.173766234,0.8254961039,NaN
6.175693506,0.8263168831,NaN
6.175745455,0.8237246753,NaN
6.17478961,0.8234233766,NaN
6.174737662,0.7531584416,NaN
6.17505974,0.7504207792,NaN
6.175080519,0.7503896104,NaN
6.174405195,0.7513922078,NaN
6.174337662,0.7524103896,NaN
6.174566234,0.7493662338,NaN
6.174748052,0.7484103896,NaN
6.174212987,0.7407012987,NaN
6.175049351,0.7484103896,NaN
6.174493506,0.7494181818,NaN
6.173818182,0.750612987,NaN
6.174353247,0.7491896104,NaN
6.174462338,0.7588467532,NaN
6.174654545,0.7477090909,NaN
6.172680519,0.7475636364,NaN
6.173662338,0.7466025974,NaN
6.173932468,0.7461142857,NaN
6.174124675,0.7453194805,NaN
6.173802597,0.7470285714,NaN
6.173651948,0.7511896104,NaN
6.174384416,0.7462701299,NaN
6.173506494,0.7441090909,NaN
6.17454026,0.7446597403,NaN
6.173745455,0.7371272727,NaN
6.173958442,0.7490909091,NaN
6.173558442,0.7474909091,NaN
6.173485714,0.7786909091,NaN
6.17361039,0.8027532468,NaN
6.173922078,0.7960883117,NaN
6.17361039,0.7550233766,NaN
6.17385974,0.792025974,NaN
6.173387013,0.7923948052,NaN
6.17401039,0.7951896104,NaN
6.173179221,0.8130753247,NaN
6.173075325,0.8158961039,NaN
6.173558442,0.8346493506,NaN
6.173288312,0.832238961,NaN
6.173922078,0.8448831169,NaN
6.172555844,0.841574026,NaN
6.173620779,0.8364675325,NaN
6.173781818,0.8338909091,NaN
6.061251948,0.8337766234,NaN
6.16347013,0.8580207792,NaN
6.164348052,0.9908103896,NaN
6.165605195,0.9972363636,NaN
6.165303896,0.9968415584,NaN
6.165594805,0.9968623377,NaN
6.166119481,0.9896831169,NaN
6.165932468,0.9931896104,NaN
6.165688312,0.9974025974,NaN
6.165132468,0.9972519481,NaN
6.166420779,0.9946493506,NaN
6.165776623,0.9968675325,NaN
6.165080519,0.9920935065,NaN
6.165293506,0.9871792208,NaN
6.165766234,0.9909714286,NaN
6.164981818,0.9892831169,NaN
6.165787013,0.9879948052,NaN
6.165303896,0.9862441558,NaN
6.165464935,0.9828883117,NaN
6.165937662,0.9731688312,NaN
6.165350649,0.9776779221,NaN
6.166161039,0.9850233766,NaN
6.165787013,0.9817454545,NaN
6.165012987,0.9150597403,NaN
6.165293506,0.8392883117,NaN
6.165948052,0.8392987013,NaN
6.190737662,0.8387948052,NaN
6.174046753,0.8402597403,NaN
6.175771429,1.021438961,NaN
6.178612987,0.9773454545,NaN
6.17918961,0.9769038961,NaN
6.178509091,0.9757246753,NaN
6.178057143,0.9753922078,NaN
6.178,0.9767220779,NaN
6.17852987,0.9753922078,NaN
6.179122078,0.9763688312,NaN
6.178015584,0.9742545455,NaN
6.178680519,0.9665818182,NaN
6.178384416,0.9585506494,NaN
6.178358442,0.9672415584,NaN
6.178509091,0.9676363636,NaN
6.178327273,0.9574493506,NaN
6.1788,0.9550441558,NaN
6.178576623,0.9673350649,NaN
6.177454545,0.9841038961,NaN
6.177553247,0.9753922078,NaN
6.178114286,0.991838961,NaN
6.178633766,0.9863636364,NaN
6.177979221,0.9852363636,NaN
6.17798961,0.9824987013,NaN
6.178867532,0.9828207792,NaN
6.178041558,0.9836467532,NaN
6.193023377,0.9760103896,NaN
6.193563636,0.9707428571,NaN
6.193916883,0.9614805195,NaN
6.1928,0.9535532468,NaN
6.192114286,0.9290597403,NaN
6.193444156,0.9389350649,NaN
6.193433766,0.9378753247,NaN
6.193584416,0.9943480519,NaN
6.193574026,1.011792208,NaN
6.193101299,1.009449351,NaN
6.193745455,1.011625974,NaN
6.19292987,1.010872727,NaN
6.193137662,1.014420779,NaN
6.193906494,1.013584416,NaN
6.193594805,0.9961038961,NaN
6.193272727,1.000192208,NaN
6.193496104,0.9926753247,NaN
6.193257143,0.9935896104,NaN
6.193293506,0.9987480519,NaN
6.19281039,0.9932519481,NaN
6.193418182,0.9939792208,NaN
6.193948052,0.990987013,NaN
6.193677922,0.9910025974,NaN
6.193496104,0.9882025974,NaN
6.19385974,0.9895948052,NaN
6.192893506,0.9888,NaN
6.193007792,0.9880207792,NaN
6.192550649,0.9894493506,NaN
6.193262338,0.9739272727,NaN
6.193033766,0.9637194805,NaN
6.192841558,0.9452,NaN
6.193625974,0.9451896104,NaN
6.193184416,0.9509714286,NaN
6.193044156,0.9496675325,NaN
6.192872727,0.951387013,NaN
6.193366234,0.9517402597,NaN
6.193511688,0.9538233766,NaN
6.192057143,0.9524779221,NaN
6.1924,0.9522597403,NaN
6.19254026,0.9389038961,NaN
6.191766234,0.9462805195,NaN
6.187225974,0.9391168831,NaN
6.065719481,0.9190649351,NaN
6.052571429,0.909225974,NaN
6.052077922,0.9035012987,NaN
6.051745455,0.8974077922,NaN
6.235220779,0.8633714286,NaN
6.190212987,0.8719844156,NaN
6.190763636,0.9003116883,NaN
6.191423377,0.9006701299,NaN
6.190919481,0.9039324675,NaN
6.191028571,0.9102857143,NaN
6.191012987,0.9116831169,NaN
6.192124675,0.9107324675,NaN
6.192171429,0.9126025974,NaN
6.191953247,0.9111896104,NaN
6.191781818,0.9100103896,NaN
6.191932468,0.9152519481,NaN
6.192124675,0.9145298701,NaN
6.191490909,0.9133922078,NaN
6.191298701,0.9144467532,NaN
6.191298701,0.9145714286,NaN
6.191781818,0.9128623377,NaN
6.191953247,0.912587013,NaN
6.191319481,0.9110857143,NaN
6.189548052,0.9109662338,NaN
6.190031169,0.9101246753,NaN
6.190181818,0.9155584416,NaN
6.189163636,0.9160831169,NaN
6.188909091,0.915412987,NaN
6.189896104,0.9136571429,NaN
6.189683117,0.9133974026,NaN
6.189709091,0.9121454545,NaN
6.189402597,0.9134701299,NaN
6.188831169,0.9123064935,NaN
6.190036364,0.9112155844,NaN
6.189745455,0.9105246753,NaN
6.189724675,0.9031636364,NaN
6.189257143,0.9079532468,NaN
6.190109091,0.9014025974,NaN
6.189044156,0.8963636364,NaN
6.189563636,0.8928935065,NaN
6.190171429,0.8933194805,NaN
6.189828571,0.8938545455,NaN
6.189137662,0.8933454545,NaN
6.189516883,0.8885350649,NaN
6.189761039,0.887012987,NaN
6.189979221,0.886587013,NaN
6.189184416,0.883838961,NaN
6.189838961,0.8819532468,NaN
6.189667532,0.8819064935,NaN
6.18985974,0.8857090909,NaN
6.189709091,0.8826545455,NaN
6.189880519,0.8938649351,NaN
6.189527273,0.8951220779,NaN
6.189303896,0.8939220779,NaN
6.189085714,0.8909454545,NaN
6.189148052,0.8887896104,NaN
6.189397403,0.8883064935,NaN
6.189225974,0.8862805195,NaN
6.189812987,0.8904207792,NaN
6.189719481,0.8864675325,NaN
6.189792208,0.8856467532,NaN
6.189267532,0.8855376623,NaN
6.189890909,0.926774026,NaN
6.189054545,0.9236935065,NaN
6.189438961,0.9234701299,NaN
6.188602597,0.9201454545,NaN
6.189054545,0.9127584416,NaN
6.189236364,0.9056779221,NaN
6.189148052,0.9039636364,NaN
6.189719481,0.903438961,NaN
6.18987013,0.9010441558,NaN
6.188550649,0.8839532468,NaN
6.189257143,0.8942181818,NaN
6.188732468,0.8913246753,NaN
6.189288312,0.8897506494,NaN
6.188633766,0.8817350649,NaN
6.188872727,0.8699636364,NaN
6.188067532,0.8523532468,NaN
6.189475325,0.8353922078,NaN
6.189267532,0.8704467532,NaN
6.188935065,0.8859064935,NaN
6.189096104,0.8804103896,NaN
6.188768831,0.8783012987,NaN
6.189387013,0.8532779221,NaN
6.18998961,0.8637350649,NaN
6.190285714,0.8585090909,NaN
6.189049351,0.8524311688,NaN
6.189241558,0.8290233766,NaN
6.189922078,0.8425506494,NaN
6.18972987,0.8227688312,NaN
6.190083117,0.827012987,NaN
6.189911688,0.8172311688,NaN
6.189963636,0.7545766234,NaN
6.190181818,0.6854597403,NaN
6.189901299,0.6886649351,NaN
6.189568831,0.6675324675,NaN
6.189807792,0.7284467532,NaN
6.191298701,0.8023636364,NaN
6.190483117,0.7875636364,NaN
6.189948052,0.7805298701,NaN
6.189818182,0.7741818182,NaN
6.190477922,0.7734805195,NaN
6.189974026,0.7430909091,NaN
6.188846753,0.7493454545,NaN
6.189724675,0.780587013,NaN
6.189511688,0.8326337662,NaN
6.189958442,0.8496519481,NaN
6.190431169,0.8395844156,NaN
6.19014026,0.8187428571,NaN
6.189620779,0.7943636364,NaN
6.189267532,0.7890181818,NaN
6.19,0.7561194805,NaN
6.189355844,0.7505558442,NaN
6.189246753,0.8318857143,NaN
6.189480519,0.8276103896,NaN
6.189812987,0.8026441558,NaN
6.189709091,0.8029194805,NaN
6.189698701,0.8007064935,NaN
6.189184416,0.7964363636,NaN
6.091787013,0.7781662338,NaN
6.187298701,0.7761714286,NaN
6.188192208,0.873387013,NaN
6.188711688,0.8630909091,NaN
6.189594805,0.7836207792,NaN
6.190041558,0.7656519481,NaN
6.189262338,0.7613194805,NaN
6.190083117,0.768,NaN
6.189174026,0.7647376623,NaN
6.189485714,0.7645298701,NaN
6.189376623,0.7826909091,NaN
6.189148052,0.7606857143,NaN
6.189698701,0.7693766234,NaN
6.189709091,0.7467168831,NaN
6.190036364,0.8121766234,NaN
6.190316883,0.8154181818,NaN
6.190020779,0.8160207792,NaN
6.189371429,0.815012987,NaN
6.189158442,0.8144675325,NaN
6.189709091,0.837412987,NaN
6.1892,0.8729194805,NaN
6.18974026,0.8361506494,NaN
6.189246753,0.8369662338,NaN
6.188966234,0.7707480519,NaN
6.189641558,0.6974493506,NaN
6.18961039,0.7098493506,NaN
6.189075325,0.6964467532,NaN
6.189792208,0.6970805195,NaN
6.1892,0.6856779221,NaN
6.189438961,0.8881194805,NaN
6.188820779,0.7674961039,NaN
6.189802597,0.7994441558,NaN
6.189038961,0.8014805195,NaN
6.189267532,0.8178493506,NaN
6.189490909,0.8145506494,NaN
6.188628571,0.8143012987,NaN
6.189267532,0.8223064935,NaN
6.189761039,0.8281194805,NaN
6.189179221,0.800987013,NaN
6.189127273,0.7988415584,NaN
6.188997403,0.8006857143,NaN
6.18918961,0.8196467532,NaN
6.18945974,0.8013714286,NaN
6.189262338,0.8025090909,NaN
6.189277922,0.8015792208,NaN
6.189225974,0.8068207792,NaN
6.18932987,0.8068727273,NaN
6.18974026,0.7800571429,NaN
6.189215584,0.7774701299,NaN
6.188805195,0.7745090909,NaN
6.189438961,0.8272103896,NaN
6.189246753,0.8425246753,NaN
6.18945974,0.844374026,NaN
6.188784416,0.8372415584,NaN
6.188441558,0.8935532468,NaN
6.188649351,0.8971272727,NaN
6.188727273,0.8956935065,NaN
6.188727273,0.8974181818,NaN
6.188545455,0.8964519481,NaN
6.188374026,0.8957662338,NaN
6.188618182,0.8951636364,NaN
6.188607792,0.9059168831,NaN
6.188748052,0.9041558442,NaN
6.188285714,0.9056675325,NaN
6.188083117,0.9023688312,NaN
6.188337662,0.9037194805,NaN
6.187927273,0.904825974,NaN
6.188322078,0.8993506494,NaN
6.188057143,0.9062233766,NaN
6.188233766,0.8905714286,NaN
6.188716883,0.8644,NaN
6.188737662,0.8632,NaN
6.188836364,0.8604,NaN
6.188561039,0.8201038961,NaN
6.188571429,0.8198181818,NaN
6.188519481,0.8176311688,NaN
6.187979221,0.8036,NaN
6.187797403,0.8030909091,NaN
6.188815584,0.7802649351,NaN
6.187890909,0.7802181818,NaN
6.188503896,0.7824727273,NaN
6.188311688,0.8445454545,NaN
6.188633766,0.829574026,NaN
6.188945455,0.8296727273,NaN
6.187657143,0.8291844156,NaN
6.188581818,0.8287532468,NaN
6.188815584,0.8220051948,NaN
6.188602597,0.820425974,NaN
6.187937662,0.8187428571,NaN
6.188493506,0.8470441558,NaN
6.188742857,0.8454649351,NaN
6.188545455,0.843361039,NaN
6.186327273,0.8561922078,NaN
6.186581818,0.8729350649,NaN
6.18641039,0.8768467532,NaN
6.187012987,0.8847116883,NaN
6.187345455,0.8837558442,NaN
6.186218182,0.9075948052,NaN
6.18745974,0.8818701299,NaN
6.185875325,0.8804935065,NaN
6.187236364,0.8800883117,NaN
6.186493506,0.9358285714,NaN
6.186732468,0.9378025974,NaN
6.072519481,0.8913766234,NaN
6.071231169,0.8896675325,NaN
6.070857143,0.8898025974,NaN
6.071028571,0.8874441558,NaN
6.046368831,0.8845454545,NaN
6.236327273,0.8821194805,NaN
6.184945455,0.88,NaN
6.185018182,0.8856103896,NaN
6.186405195,0.8885038961,NaN
6.186285714,0.8862181818,NaN
6.185932468,0.8890025974,NaN
6.186888312,0.8776935065,NaN
6.187049351,0.8446961039,NaN
6.187412987,0.8340155844,NaN
6.187335065,0.8230909091,NaN
6.18705974,0.8385922078,NaN
6.186888312,0.8407428571,NaN
6.186877922,0.9248415584,NaN
6.187553247,0.9188363636,NaN
6.187444156,0.9156363636,NaN
6.187101299,0.9179896104,NaN
6.186919481,0.9415376623,NaN
6.186779221,0.9522597403,NaN
6.187464935,0.9534909091,NaN
6.186488312,0.9495688312,NaN
6.187766234,0.9704415584,NaN
6.187277922,0.9758701299,NaN
6.186701299,1.025548052,NaN
6.186592208,1.036436364,NaN
6.186083117,1.040763636,NaN
6.185948052,1.038888312,NaN
6.186774026,1.042633766,NaN
6.186794805,1.044924675,NaN
6.186280519,1.030436364,NaN
6.187101299,1.041412987,NaN
6.186067532,1.030093506,NaN
6.186503896,1.018062338,NaN
6.186254545,1.017844156,NaN
6.185854545,1.00652987,NaN
6.186716883,1.005828571,NaN
6.187745455,1.001475325,NaN
6.186296104,0.9779688312,NaN
6.186649351,0.9615116883,NaN
6.186587013,0.9597090909,NaN
6.186275325,0.9627688312,NaN
6.186083117,0.9579532468,NaN
6.18692987,0.9906805195,NaN
6.185979221,0.9903688312,NaN
6.186275325,0.9932415584,NaN
6.185792208,0.994638961,NaN
6.186181818,0.9961194805,NaN
6.186415584,0.9982597403,NaN
6.186264935,0.9958545455,NaN
6.185942857,0.9958753247,NaN
6.186327273,0.9910961039,NaN
6.186431169,0.9921714286,NaN
6.186436364,0.9939636364,NaN
6.186005195,0.9916155844,NaN
6.186379221,0.9946285714,NaN
6.185833766,0.9938701299,NaN
6.185953247,0.9917974026,NaN
6.186467532,0.9882753247,NaN
6.186488312,0.9878909091,NaN
6.185672727,0.9868935065,NaN
6.186649351,0.9813402597,NaN
6.186327273,0.9742649351,NaN
6.185698701,0.9659532468,NaN
6.186316883,0.978587013,NaN
6.187350649,0.9832831169,NaN
6.186602597,0.9870441558,NaN
6.185844156,0.9707324675,NaN
6.186280519,0.9975584416,NaN
6.186488312,1.000976623,NaN
6.185922078,1.012441558,NaN
6.186509091,1.011475325,NaN
6.186368831,1.010992208,NaN
6.186358442,1.007974026,NaN
6.18641039,1.008285714,NaN
6.185838961,1.002046753,NaN
6.186680519,1.007433766,NaN
6.186176623,1.005688312,NaN
6.186306494,1.004742857,NaN
6.185288312,1.005044156,NaN
6.185766234,0.9999220779,NaN
6.076384416,0.9978285714,NaN
6.087225974,0.9940519481,NaN
6.086862338,0.9964727273,NaN
6.087054545,0.9977558442,NaN
6.086519481,0.9979376623,NaN
6.0864,0.9955324675,NaN
6.087968831,0.9982077922,NaN
6.087184416,0.9907584416,NaN
6.08654026,0.9831428571,NaN
6.086218182,0.9821974026,NaN
6.086955844,0.9843376623,NaN
6.086981818,0.981012987,NaN
6.086701299,0.9790805195,NaN
6.086348052,0.9774857143,NaN
6.086358442,0.9770493506,NaN
6.087677922,0.9761038961,NaN
6.086841558,0.9760883117,NaN
6.086706494,0.9752415584,NaN
6.086415584,0.9747376623,NaN
6.086680519,0.9744571429,NaN
6.086477922,0.9741350649,NaN
6.08627013,0.9728883117,NaN
6.086696104,0.972,NaN
6.085527273,0.9735324675,NaN
6.086638961,0.9666181818,NaN
6.085625974,0.9806545455,NaN
6.086093506,0.9772,NaN
6.085137662,0.9770233766,NaN
6.178223377,0.9829298701,NaN
6.178955844,0.9804779221,NaN
6.183677922,0.9775792208,NaN
6.183018182,0.9748987013,NaN
6.183407792,0.967438961,NaN
6.183246753,0.9673766234,NaN
6.184031169,0.9677454545,NaN
6.183506494,0.9691012987,NaN
6.183849351,0.9691012987,NaN
6.183667532,0.9710337662,NaN
6.18401039,0.9690753247,NaN
6.185023377,0.9692623377,NaN
6.185454545,0.9678649351,NaN
6.185309091,0.9673402597,NaN
6.185833766,0.9662493506,NaN
6.185501299,0.9651272727,NaN
6.185116883,0.965574026,NaN
6.185262338,0.9598857143,NaN
6.185371429,0.8419584416,NaN
6.185662338,0.8177662338,NaN
6.185205195,0.8206233766,NaN
6.184566234,0.8199428571,NaN
6.184316883,0.8203636364,NaN
6.185896104,1.016566234,NaN
6.184337662,0.9254909091,NaN
6.185163636,0.9573974026,NaN
6.185412987,0.9540363636,NaN
6.185724675,0.9484155844,NaN
6.185090909,0.9483948052,NaN
6.184296104,0.9509714286,NaN
6.185101299,0.9508207792,NaN
6.185755844,0.9502441558,NaN
6.185464935,0.9516987013,NaN
6.185444156,0.9517402597,NaN
6.18481039,0.9494909091,NaN
6.185392208,0.9517038961,NaN
6.185241558,0.9528779221,NaN
6.184264935,0.9606753247,NaN
6.18507013,0.9569038961,NaN
6.185412987,0.9574649351,NaN
6.185625974,0.9558337662,NaN
6.183823377,0.9576831169,NaN
6.184612987,0.9580623377,NaN
6.185262338,0.9528467532,NaN
6.183262338,0.9523844156,NaN
6.182898701,0.9467376623,NaN
6.185080519,0.9448103896,NaN
6.184306494,0.9451428571,NaN
6.186249351,0.9460883117,NaN
6.184794805,0.9410805195,NaN
6.185267532,0.9466909091,NaN
6.185371429,0.9492467532,NaN
6.184587013,0.9472207792,NaN
6.183828571,0.9435064935,NaN
6.184737662,0.9441142857,NaN
