RAM(J),Exhaustivo,Aleatorio,Evolutivo
0.32,0.32,0.61,0.43
0.34,0.34,0.32,0.39
0.35,0.35,0.32,0.51
0.34,0.34,0.32,0.59
0.37,0.37,0.33,0.38
0.35,0.35,0.4,0.38
0.34,0.34,0.4,0.45
0.32,0.32,0.32,0.57
0.39,0.39,0.36,0.57
0.33,0.33,0.48,0.47
0.41,0.41,0.35,0.41
0.33,0.33,0.35,0.46
0.35,0.35,0.45,0.44
0.39,0.39,0.32,0.51
0.33,0.33,,0.41
0.34,0.34,,0.49
0.33,0.33,,0.37
0.33,0.33,,0.42
0.41,0.41,,0.47
0.31,0.31,,0.35
0.4,0.4,,0.45
0.34,0.34,,0.42
0.41,0.41,,0.45
0.34,0.34,,0.34
0.41,0.41,,0.43
0.32,0.32,,0.41
0.4,0.4,,0.44
0.35,0.35,,0.4
0.35,0.35,,0.4
0.33,0.33,,0.32
0.34,0.34,,0.41
0.38,0.38,,0.42
0.37,0.37,,0.38
0.32,0.32,,0.33
0.32,0.32,,0.33
0.41,0.41,,0.32
0.32,0.32,,0.33
0.37,0.37,,0.37
0.33,0.33,,0.53
0.36,0.36,,0.51
0.32,0.32,,0.48
0.39,0.39,,0.34
0.33,0.33,,0.34
0.36,0.36,,0.48
0.33,0.33,,0.41
0.34,0.34,,0.35
0.37,0.37,,0.34
0.36,0.36,,0.43
0.34,0.34,,0.32
0.32,0.32,,0.36
0.38,0.38,,0.44
0.36,0.36,,0.42
0.41,0.41,,0.38
0.39,0.39,,0.34
0.35,0.35,,0.4
0.37,0.37,,0.36
0.4,0.4,,0.45
0.43,0.43,,0.33
0.36,0.36,,0.53
0.38,0.38,,0.53
0.36,0.36,,0.52
0.41,0.41,,0.32
0.42,0.42,,0.32
0.4,0.4,,0.32
0.34,0.34,,0.32
0.37,0.37,,0.35
0.36,0.36,,0.36
0.35,0.35,,0.43
0.34,0.34,,0.67
0.36,0.36,,0.55
0.36,0.36,,0.4
0.32,0.32,,0.38
0.33,0.33,,0.32
0.32,0.32,,0.32
0.33,0.33,,0.62
0.37,0.37,,0.62
0.4,0.4,,0.32
0.34,0.34,,0.37
0.38,0.38,,0.37
0.34,0.34,,0.34
0.31,0.31,,0.32
0.37,0.37,,0.35
0.33,0.33,,0.32
0.36,0.36,,0.33
0.39,0.39,,0.37
0.35,0.35,,0.38
0.32,0.32,,0.58
0.41,0.41,,0.72
0.36,0.36,,0.6
0.39,0.39,,0.62
0.36,0.36,,0.62
0.35,0.35,,
0.38,0.38,,
0.38,0.38,,
0.31,0.31,,
0.35,0.35,,
0.34,0.34,,
0.35,0.35,,
0.32,0.32,,
0.39,0.39,,
0.34,0.34,,
0.35,0.35,,
0.32,0.32,,
0.34,0.34,,
0.34,0.34,,
0.35,0.35,,
0.35,0.35,,
0.38,0.38,,
0.33,0.33,,
0.38,0.38,,
0.33,0.33,,
0.39,0.39,,
0.33,0.33,,
0.38,0.38,,
0.33,0.33,,
0.36,0.36,,
0.38,0.38,,
0.4,0.4,,
0.33,0.33,,
0.33,0.33,,
0.32,0.32,,
0.34,0.34,,
0.37,0.37,,
0.32,0.32,,
0.4,0.4,,
0.36,0.36,,
0.35,0.35,,
0.34,0.34,,
0.38,0.38,,
0.33,0.33,,
0.36,0.36,,
0.33,0.33,,
0.34,0.34,,
0.4,0.4,,
0.36,0.36,,
0.33,0.33,,
0.32,0.32,,
0.36,0.36,,
0.35,0.35,,
0.36,0.36,,
0.33,0.33,,
0.35,0.35,,
0.38,0.38,,
0.37,0.37,,
0.35,0.35,,
0.32,0.32,,
0.38,0.38,,
0.32,0.32,,
0.36,0.36,,
0.31,0.31,,
0.37,0.37,,
0.37,0.37,,
0.36,0.36,,
0.38,0.38,,
0.33,0.33,,
0.38,0.38,,
0.33,0.33,,
0.36,0.36,,
0.32,0.32,,
0.32,0.32,,
0.37,0.37,,
0.39,0.39,,
0.37,0.37,,
0.32,0.32,,
0.32,0.32,,
0.4,0.4,,
0.34,0.34,,
0.33,0.33,,
0.37,0.37,,
0.34,0.34,,
0.54,0.54,,
0.51,0.51,,
0.38,0.38,,
0.35,0.35,,
0.32,0.32,,
0.34,0.34,,
0.32,0.32,,
0.31,0.31,,
0.35,0.35,,
0.32,0.32,,
0.35,0.35,,
0.39,0.39,,
0.34,0.34,,
0.32,0.32,,
0.31,0.31,,
0.32,0.32,,
0.33,0.33,,
0.32,0.32,,
0.36,0.36,,
0.33,0.33,,
0.32,0.32,,
0.36,0.36,,
0.33,0.33,,
0.37,0.37,,
0.34,0.34,,
0.33,0.33,,
0.45,0.45,,
0.35,0.35,,
0.32,0.32,,
0.39,0.39,,
0.32,0.32,,
0.31,0.31,,
0.36,0.36,,
0.36,0.36,,
0.36,0.36,,
0.37,0.37,,
0.32,0.32,,
0.36,0.36,,
0.34,0.34,,
0.32,0.32,,
0.33,0.33,,
0.36,0.36,,
0.33,0.33,,
0.35,0.35,,
0.35,0.35,,
0.35,0.35,,
0.32,0.32,,
0.34,0.34,,
0.32,0.32,,
0.37,0.37,,
0.32,0.32,,
0.35,0.35,,
0.34,0.34,,
0.32,0.32,,
0.36,0.36,,
0.34,0.34,,
0.36,0.36,,
0.38,0.38,,
0.33,0.33,,
0.32,0.32,,
0.4,0.4,,
0.32,0.32,,
0.32,0.32,,
0.39,0.39,,
0.32,0.32,,
0.31,0.31,,
0.35,0.35,,
0.33,0.33,,
0.39,0.39,,
0.38,0.38,,
0.34,0.34,,
0.32,0.32,,
0.36,0.36,,
0.32,0.32,,
0.36,0.36,,
0.35,0.35,,
0.32,0.32,,
0.32,0.32,,
0.36,0.36,,
0.37,0.37,,
0.36,0.36,,
0.33,0.33,,
0.33,0.33,,
0.36,0.36,,
0.35,0.35,,
0.31,0.31,,
0.33,0.33,,
0.32,0.32,,
0.32,0.32,,
0.38,0.38,,
0.36,0.36,,
0.36,0.36,,
0.37,0.37,,
0.32,0.32,,
0.36,0.36,,
0.37,0.37,,
0.39,0.39,,
0.38,0.38,,
0.38,0.38,,
0.44,0.44,,
0.4,0.4,,
0.35,0.35,,
0.32,0.32,,
0.32,0.32,,
0.36,0.36,,
0.33,0.33,,
0.32,0.32,,
0.32,0.32,,
0.37,0.37,,
0.32,0.32,,
0.33,0.33,,
0.36,0.36,,
0.36,0.36,,
0.33,0.33,,
0.32,0.32,,
0.31,0.31,,
0.37,0.37,,
0.37,0.37,,
0.35,0.35,,
0.33,0.33,,
0.35,0.35,,
0.33,0.33,,
0.36,0.36,,
0.32,0.32,,
0.32,0.32,,
0.32,0.32,,
0.38,0.38,,
0.4,0.4,,
0.35,0.35,,
0.32,0.32,,
0.37,0.37,,
0.33,0.33,,
0.32,0.32,,
0.32,0.32,,
0.32,0.32,,
0.34,0.34,,
0.34,0.34,,
0.34,0.34,,
0.37,0.37,,
0.32,0.32,,
0.33,0.33,,
0.36,0.36,,
0.35,0.35,,
0.37,0.37,,
0.31,0.31,,
0.32,0.32,,
0.34,0.34,,
0.35,0.35,,
0.33,0.33,,
0.35,0.35,,
0.31,0.31,,
0.32,0.32,,
0.33,0.33,,
0.32,0.32,,
0.33,0.33,,
0.33,0.33,,
0.33,0.33,,
0.36,0.36,,
0.36,0.36,,
0.36,0.36,,
0.38,0.38,,
0.32,0.32,,
0.32,0.32,,
0.33,0.33,,
0.31,0.31,,
0.31,0.31,,
0.37,0.37,,
0.32,0.32,,
0.36,0.36,,
0.35,0.35,,
0.34,0.34,,
0.37,0.37,,
0.35,0.35,,
0.32,0.32,,
0.38,0.38,,
0.32,0.32,,
0.31,0.31,,
0.35,0.35,,
0.32,0.32,,
0.33,0.33,,
0.34,0.34,,
0.33,0.33,,
0.34,0.34,,
0.36,0.36,,
0.35,0.35,,
0.32,0.32,,
0.32,0.32,,
0.32,0.32,,
0.35,0.35,,
0.36,0.36,,
0.31,0.31,,
0.35,0.35,,
0.32,0.32,,
0.34,0.34,,
0.36,0.36,,
0.31,0.31,,
0.31,0.31,,
0.32,0.32,,
0.38,0.38,,
0.32,0.32,,
0.39,0.39,,
0.38,0.38,,
0.32,0.32,,
0.37,0.37,,
0.4,0.4,,
0.37,0.37,,
0.33,0.33,,
0.32,0.32,,
0.32,0.32,,
0.35,0.35,,
0.33,0.33,,
0.32,0.32,,
0.35,0.35,,
0.39,0.39,,
0.43,0.43,,
0.36,0.36,,
0.32,0.32,,
0.35,0.35,,
0.36,0.36,,
0.31,0.31,,
0.31,0.31,,
0.33,0.33,,
0.32,0.32,,
0.32,0.32,,
0.31,0.31,,
0.33,0.33,,
0.33,0.33,,
0.33,0.33,,
0.37,0.37,,
0.37,0.37,,
0.34,0.34,,
0.38,0.38,,
0.32,0.32,,
0.38,0.38,,
0.32,0.32,,
0.34,0.34,,
0.36,0.36,,
0.31,0.31,,
0.32,0.32,,
0.37,0.37,,
0.33,0.33,,
0.36,0.36,,
0.33,0.33,,
0.36,0.36,,
0.32,0.32,,
0.31,0.31,,
0.36,0.36,,
0.33,0.33,,
0.32,0.32,,
0.31,0.31,,
0.36,0.36,,
0.35,0.35,,
0.36,0.36,,
0.32,0.32,,
0.38,0.38,,
0.33,0.33,,
0.34,0.34,,
0.41,0.41,,
0.32,0.32,,
0.35,0.35,,
0.34,0.34,,
0.36,0.36,,
0.43,0.43,,
0.34,0.34,,
0.32,0.32,,
0.4,0.4,,
0.32,0.32,,
0.31,0.31,,
0.38,0.38,,
0.32,0.32,,
0.35,0.35,,
0.38,0.38,,
0.34,0.34,,
0.37,0.37,,
0.34,0.34,,
0.31,0.31,,
0.38,0.38,,
0.32,0.32,,
0.33,0.33,,
0.33,0.33,,
0.32,0.32,,
0.32,0.32,,
0.35,0.35,,
0.34,0.34,,
0.35,0.35,,
0.44,0.44,,
0.33,0.33,,
0.32,0.32,,
0.33,0.33,,
0.33,0.33,,
0.35,0.35,,
0.36,0.36,,
0.31,0.31,,
0.31,0.31,,
0.36,0.36,,
0.35,0.35,,
0.36,0.36,,
0.35,0.35,,
0.31,0.31,,
0.36,0.36,,
0.33,0.33,,
0.32,0.32,,
0.33,0.33,,
0.33,0.33,,
0.33,0.33,,
0.32,0.32,,
0.36,0.36,,
0.34,0.34,,
0.37,0.37,,
0.31,0.31,,
0.32,0.32,,
0.34,0.34,,
0.32,0.32,,
0.32,0.32,,
0.37,0.37,,
0.34,0.34,,
0.43,0.43,,
0.36,0.36,,
0.37,0.37,,
0.37,0.37,,
0.39,0.39,,
0.36,0.36,,
0.42,0.42,,
0.41,0.41,,
0.38,0.38,,
0.31,0.31,,
0.32,0.32,,
0.42,0.42,,
0.33,0.33,,
0.33,0.33,,
0.38,0.38,,
0.34,0.34,,
0.37,0.37,,
0.36,0.36,,
0.32,0.32,,
0.32,0.32,,
0.39,0.39,,
0.32,0.32,,
0.31,0.31,,
0.38,0.38,,
0.32,0.32,,
0.33,0.33,,
0.34,0.34,,
0.37,0.37,,
0.36,0.36,,
0.34,0.34,,
0.31,0.31,,
0.36,0.36,,
0.35,0.35,,
0.34,0.34,,
0.34,0.34,,
0.34,0.34,,
0.35,0.35,,
0.32,0.32,,
0.34,0.34,,
0.32,0.32,,
0.33,0.33,,
0.36,0.36,,
0.34,0.34,,
0.31,0.31,,
0.37,0.37,,
0.32,0.32,,
0.33,0.33,,
0.36,0.36,,
0.35,0.35,,
0.33,0.33,,
0.34,0.34,,
0.32,0.32,,
0.37,0.37,,
0.32,0.32,,
0.32,0.32,,
0.38,0.38,,
0.33,0.33,,
0.34,0.34,,
0.35,0.35,,
0.36,0.36,,
0.36,0.36,,
0.35,0.35,,
0.33,0.33,,
0.36,0.36,,
0.32,0.32,,
0.33,0.33,,
0.35,0.35,,
0.33,0.33,,
0.31,0.31,,
0.34,0.34,,
0.34,0.34,,
0.34,0.34,,
0.37,0.37,,
0.31,0.31,,
0.31,0.31,,
0.35,0.35,,
0.32,0.32,,
0.36,0.36,,
0.34,0.34,,
0.32,0.32,,
0.38,0.38,,
0.34,0.34,,
0.36,0.36,,
0.35,0.35,,
0.42,0.42,,
0.33,0.33,,
0.43,0.43,,
0.32,0.32,,
0.34,0.34,,
0.38,0.38,,
0.35,0.35,,
0.31,0.31,,
0.32,0.32,,
0.38,0.38,,
0.33,0.33,,
0.35,0.35,,
0.33,0.33,,
0.32,0.32,,
0.37,0.37,,
0.33,0.33,,
0.34,0.34,,
0.37,0.37,,
0.33,0.33,,
0.35,0.35,,
0.35,0.35,,
0.38,0.38,,
0.35,0.35,,
0.39,0.39,,
0.32,0.32,,
0.36,0.36,,
0.38,0.38,,
0.33,0.33,,
0.52,0.52,,
0.33,0.33,,
0.34,0.34,,
0.33,0.33,,
0.33,0.33,,
0.34,0.34,,
0.39,0.39,,
0.36,0.36,,
0.32,0.32,,
0.37,0.37,,
0.37,0.37,,
0.31,0.31,,
0.32,0.32,,
0.36,0.36,,
0.32,0.32,,
0.35,0.35,,
0.36,0.36,,
0.39,0.39,,
0.38,0.38,,
0.35,0.35,,
0.32,0.32,,
0.32,0.32,,
0.33,0.33,,
0.33,0.33,,
0.35,0.35,,
0.35,0.35,,
0.32,0.32,,
0.32,0.32,,
0.38,0.38,,
0.34,0.34,,
0.34,0.34,,
0.33,0.33,,
0.33,0.33,,
0.33,0.33,,
0.36,0.36,,
0.32,0.32,,
0.39,0.39,,
0.34,0.34,,
0.32,0.32,,
0.34,0.34,,
0.36,0.36,,
0.32,0.32,,
0.32,0.32,,
0.32,0.32,,
0.33,0.33,,
0.33,0.33,,
0.33,0.33,,
0.34,0.34,,
0.33,0.33,,
0.39,0.39,,
0.34,0.34,,
0.32,0.32,,
0.34,0.34,,
0.32,0.32,,
0.37,0.37,,
0.34,0.34,,
0.33,0.33,,
0.32,0.32,,
0.32,0.32,,
0.36,0.36,,
0.35,0.35,,
0.34,0.34,,
0.39,0.39,,
0.32,0.32,,
0.33,0.33,,
0.37,0.37,,
0.31,0.31,,
0.35,0.35,,
0.35,0.35,,
0.32,0.32,,
0.33,0.33,,
0.32,0.32,,
0.37,0.37,,
0.33,0.33,,
0.33,0.33,,
0.33,0.33,,
0.38,0.38,,
0.33,0.33,,
0.34,0.34,,
0.37,0.37,,
0.33,0.33,,
0.37,0.37,,
0.37,0.37,,
0.31,0.31,,
0.32,0.32,,
0.36,0.36,,
0.33,0.33,,
0.32,0.32,,
0.33,0.33,,
0.36,0.36,,
0.33,0.33,,
0.34,0.34,,
0.31,0.31,,
0.33,0.33,,
0.33,0.33,,
0.35,0.35,,
0.33,0.33,,
0.32,0.32,,
0.35,0.35,,
0.35,0.35,,
0.31,0.31,,
0.32,0.32,,
0.39,0.39,,
0.32,0.32,,
0.33,0.33,,
0.33,0.33,,
0.33,0.33,,
0.36,0.36,,
0.38,0.38,,
0.32,0.32,,
0.33,0.33,,
0.36,0.36,,
0.4,0.4,,
0.37,0.37,,
0.35,0.35,,
0.37,0.37,,
0.45,0.45,,
0.48,0.48,,
0.32,0.32,,
0.35,0.35,,
0.34,0.34,,
0.35,0.35,,
0.33,0.33,,
0.34,0.34,,
0.37,0.37,,
0.32,0.32,,
0.31,0.31,,
0.34,0.34,,
0.33,0.33,,
0.32,0.32,,
0.34,0.34,,
0.31,0.31,,
0.32,0.32,,
0.36,0.36,,
0.33,0.33,,
0.35,0.35,,
0.34,0.34,,
0.38,0.38,,
0.34,0.34,,
0.31,0.31,,
0.32,0.32,,
0.35,0.35,,
0.31,0.31,,
0.31,0.31,,
0.39,0.39,,
0.32,0.32,,
0.32,0.32,,
0.31,0.31,,
0.37,0.37,,
0.38,0.38,,
0.34,0.34,,
0.42,0.42,,
0.32,0.32,,
0.32,0.32,,
0.34,0.34,,
0.35,0.35,,
0.32,0.32,,
0.32,0.32,,
0.36,0.36,,
0.33,0.33,,
0.32,0.32,,
0.35,0.35,,
0.44,0.44,,
0.34,0.34,,
0.33,0.33,,
0.38,0.38,,
0.32,0.32,,
0.35,0.35,,
0.37,0.37,,
0.32,0.32,,
0.36,0.36,,
0.35,0.35,,
0.34,0.34,,
0.32,0.32,,
0.32,0.32,,
0.34,0.34,,
0.35,0.35,,
0.32,0.32,,
0.36,0.36,,
0.33,0.33,,
0.4,0.4,,
0.38,0.38,,
0.32,0.32,,
0.35,0.35,,
0.35,0.35,,
0.51,0.51,,
0.35,0.35,,
0.36,0.36,,
0.35,0.35,,
0.32,0.32,,
0.37,0.37,,
0.35,0.35,,
0.34,0.34,,
0.39,0.39,,
0.35,0.35,,
0.33,0.33,,
0.37,0.37,,
0.33,0.33,,
0.31,0.31,,
0.32,0.32,,
0.35,0.35,,
0.39,0.39,,
0.32,0.32,,
0.38,0.38,,
0.32,0.32,,
0.33,0.33,,
0.33,0.33,,
0.34,0.34,,
0.34,0.34,,
0.34,0.34,,
0.39,0.39,,
0.31,0.31,,
0.32,0.32,,
0.37,0.37,,
0.34,0.34,,
0.33,0.33,,
0.32,0.32,,
0.38,0.38,,
0.33,0.33,,
0.35,0.35,,
0.35,0.35,,
0.33,0.33,,
0.36,0.36,,
0.33,0.33,,
0.33,0.33,,
0.33,0.33,,
0.35,0.35,,
0.39,0.39,,
0.34,0.34,,
0.35,0.35,,
0.33,0.33,,
0.32,0.32,,
0.32,0.32,,
0.37,0.37,,
0.33,0.33,,
0.32,0.32,,
0.34,0.34,,
0.35,0.35,,
0.35,0.35,,
0.34,0.34,,
0.34,0.34,,
0.31,0.31,,
0.37,0.37,,
0.41,0.41,,
0.35,0.35,,
0.31,0.31,,
0.32,0.32,,
0.33,0.33,,
0.34,0.34,,
0.31,0.31,,
0.38,0.38,,
0.37,0.37,,
0.34,0.34,,
0.35,0.35,,
0.39,0.39,,
0.34,0.34,,
0.35,0.35,,
0.35,0.35,,
0.32,0.32,,
0.35,0.35,,
0.33,0.33,,
0.31,0.31,,
0.32,0.32,,
0.32,0.32,,
0.36,0.36,,
0.33,0.33,,
0.34,0.34,,
0.34,0.34,,
0.36,0.36,,
0.37,0.37,,
0.33,0.33,,
0.41,0.41,,
0.32,0.32,,
0.31,0.31,,
0.38,0.38,,
0.34,0.34,,
0.32,0.32,,
0.32,0.32,,
0.35,0.35,,
0.35,0.35,,
0.35,0.35,,
0.35,0.35,,
0.34,0.34,,
0.34,0.34,,
0.34,0.34,,
0.38,0.38,,
0.31,0.31,,
0.33,0.33,,
0.33,0.33,,
0.35,0.35,,
0.31,0.31,,
0.37,0.37,,
0.34,0.34,,
0.33,0.33,,
0.32,0.32,,
0.36,0.36,,
0.34,0.34,,
0.34,0.34,,
0.31,0.31,,
0.35,0.35,,
0.33,0.33,,
0.34,0.34,,
0.37,0.37,,
0.33,0.33,,
0.32,0.32,,
0.33,0.33,,
0.33,0.33,,
0.36,0.36,,
0.34,0.34,,
0.35,0.35,,
0.34,0.34,,
0.34,0.34,,
0.33,0.33,,
0.33,0.33,,
0.35,0.35,,
0.31,0.31,,
0.32,0.32,,
0.38,0.38,,
0.33,0.33,,
0.31,0.31,,
0.36,0.36,,
0.36,0.36,,
0.36,0.36,,
0.36,0.36,,
0.36,0.36,,
0.33,0.33,,
0.32,0.32,,
0.34,0.34,,
0.32,0.32,,
0.32,0.32,,
0.39,0.39,,
0.32,0.32,,
0.31,0.31,,
0.41,0.41,,
0.41,0.41,,
0.37,0.37,,
0.37,0.37,,
0.38,0.38,,
0.4,0.4,,
0.46,0.46,,
0.32,0.32,,
0.31,0.31,,
0.32,0.32,,
0.37,0.37,,
0.35,0.35,,
0.36,0.36,,
0.33,0.33,,
0.33,0.33,,
0.35,0.35,,
0.32,0.32,,
0.35,0.35,,
0.32,0.32,,
0.36,0.36,,
0.35,0.35,,
0.34,0.34,,
0.33,0.33,,
0.33,0.33,,
0.35,0.35,,
0.32,0.32,,
0.31,0.31,,
0.32,0.32,,
0.35,0.35,,
0.34,0.34,,
0.35,0.35,,
0.39,0.39,,
0.33,0.33,,
0.32,0.32,,
0.32,0.32,,
0.37,0.37,,
0.34,0.34,,
0.32,0.32,,
0.38,0.38,,
0.32,0.32,,
0.32,0.32,,
0.38,0.38,,
0.35,0.35,,
0.34,0.34,,
0.36,0.36,,
0.35,0.35,,
0.31,0.31,,
0.33,0.33,,
0.38,0.38,,
0.34,0.34,,
0.33,0.33,,
0.31,0.31,,
0.37,0.37,,
0.33,0.33,,
